FILING YEAR,LAST NAME,FIRST NAME,LOBBYIST MIDDLE INITIAL,CLIENT,COMPENSATION,FILING PERIOD
2011,Bernardini,Charles,R,Aeroterm,$2000.00,1
2011,Bernardoni,Brian,A,Chicago Assoc. of Realtors,$40000.00,1
2011,Bieber,Jeffrey,J,Kroger Co,$0.00,1
2011,Bieber,Jeffrey,J,Ralph's Grocery Co.,$0.00,1
2011,Bisio,B. John,,"Wal-Mart Stores, Inc.",$56000.00,1
2011,Bonoma,David,A,Chicago Aviation Partners,$10000.00,1
2011,Bonoma,David,A,Enterprise Leasing Co. of Chicago,$10000.00,1
2011,Bonoma,David,A,"H.W. Lochner, Inc.",$5000.00,1
2011,Bonoma,David,A,Reliable Asphalt Company,$6000.00,1
2011,Bonoma,David,A,"4330 S. Racine, LLC",$1000.00,1
2011,Bonoma,David,A,"JCDecaux Chicago, LLC",$25000.00,1
2011,Borstein,Scott,,Capri Capital Partners,$0.00,1
2011,Borstein,Scott,,"Polsky, Michael",$0.00,1
2011,Borstein,Scott,,Bronzeville Associates Limited Partnership,$0.00,1
2011,Borstein,Scott,,Urban Partnership Bank,$0.00,1
2011,Borstein,Scott,,"River Bend Real Estate Investments, LLC",$0.00,1
2011,Borstein,Scott,,Chicago Board of Education,$0.00,1
2011,Boumenot,Albert,A,George K. Baum & Co.,$0.00,1
2011,Boumis,Sotirios (Sam),A,Douglas J Schools%2f Institutes,$10000.00,1
2011,Boykin,Richard,R,Youth Connection Charter School,$30000.00,1
2012,Boykin,Richard,R,Crown Imports,$0.00,1
2011,Brankin,Patrick,T,"Fakhoury, Khaldoun",$4000.00,1
2011,Brankin,Patrick,T,Home Carpet One,$1000.00,1
2011,Brankin,Patrick,T,6060 N. Northwest Hwy LLC,$3000.00,1
2011,Brezman,Pablo,,J C Decaux NA,$3000.00,1
2011,Broderick,Michael,J,"BackFlow Solutions, Inc",$3000.00,1
2011,Brown,Michael,E,Oracle,$2000.00,1
2011,Brown,Kathleen ,,"Goldman, Sachs & Co",$5000.00,1
2011,Brown,Michael,E,Landrum & Brown,$1000.00,1
2011,Brown,Clint,V,United Food and Commercial Workers Local 881,$1000.00,1
2011,Brown,Michael,E,MBB Enterprises Inc,$1000.00,1
2011,Brown,Michael,E,Benchmark,$3000.00,1
2011,Brown,Michael,E,ESI,$1000.00,1
2011,Brown,Michael,E,Delaware North Companies,$2000.00,1
2011,Brunsvold,Theodore,J,Lorillard Tobacco,$18000.00,1
2011,Brunsvold,Theodore,J,Satellite Broadcasting & communications Assoc.,$5000.00,1
2011,Brunsvold,Theodore,J,Multistate Corp,$45000.00,1
2011,Brunsvold,Theodore,J,Diageo NA,$35000.00,1
2011,Brunsvold,Theodore,J,Direct TV,$5000.00,1
2011,Brunsvold,Theodore,J,Midwest Gneration,$18000.00,1
2011,Brunsvold,Theodore,J,Oracle,$0.00,1
2011,Brunsvold,Theodore,J,Dish Network,$5000.00,1
2011,Brunsvold,Theodore,J,CFSA ,$15000.00,1
2011,Brunsvold,Theodore,J,Illinois Pipe Trades Advancement & Promotion Program,$0.00,1
2011,Brunsvold,Theodore,J,HP (Hewlett Packard),$40000.00,1
2011,Brunsvold,Theodore,J,Symantec Corp,$18000.00,1
2011,Brunsvold,Theodore,J,3M Corporation,$10000.00,1
2011,Brunsvold,Theodore,J,Allstate Insurance Co.,$0.00,1
2011,Bunting,Dana,,"Goldman, Sachs & Co",$2000.00,1
2011,Carney,Demetrius,E,The Hudson Group (Retail Specialist),$84000.00,1
2011,Carney,Demetrius,E,"Forest City Commercial Group, Inc.",$0.00,1
2011,Carney,Demetrius,E,"Zip Car, Inc.",$0.00,1
2011,Carrell ,Mitchell,A,"NM Project Company, LLC",$0.00,1
2011,Carrell ,Mitchell,A,Career Builder LLC,$2000.00,1
2011,Carrell ,Mitchell,A,Clear Channel Outdoor,$5000.00,1
2011,Carrell ,Mitchell,A,Prism Development Company,$2000.00,1
2011,Carrell ,Mitchell,A,General Iron Industries,$1000.00,1
2011,Carter,James,F,Jackson Securities,$0.00,1
2011,Cassel,Peter,,1525 HP LLC,$1000.00,1
2011,Cassel,Peter,,1600 E 53rd St. LLC,$1000.00,1
2011,Cassel,Danielle,,South Chicago Packing Co,$5000.00,1
2011,Cassel,Danielle,,Central Steel and Wire,$1000.00,1
2011,Cassel,Danielle,,"General Growth Properties, Inc",$2000.00,1
2011,Cassel,Danielle,,Sutherland LLC,$5000.00,1
2011,Cassel,Danielle,,Bridgeview Bank & Trust,$15000.00,1
2011,Cassel,Peter,,"Solstice on the Park, LLC",$1000.00,1
2011,Cassel,Peter,,MAC Property Management,$1000.00,1
2011,Cassel,Danielle,,"Cornell 55, LLC",$6000.00,1
2011,Cassel,Danielle,,"5454 S. Shore Drive, LLC",$5000.00,1
2011,Cassel,Danielle,,"Floyd's 99 Illinois, LLC",$6000.00,1
2011,Cassel,Danielle,,Target Corporation,$30000.00,1
2011,Cassel,Danielle,,University of Chicago,$20000.00,1
2011,Cassidy,Michael,P,Sentry Security Systems LLC,$30000.00,1
2011,Chang,Victor,H,"Wells Fargo Brokerage Services, LLC",$0.00,1
2011,Chang,Victor,H,"Wells Fargo Bank, N.A.",$14000.00,1
2011,Chidley,Jean,R,Chicago Parking Meters LLC,$2400.00,1
2011,Ciaccio,Michael,P,Teamsters Joint Council 25,$5000.00,1
2011,Cini,Joseph ,P,"Anchor Mechanical, Inc",$3000.00,1
2011,Cini,Joseph ,P,City Escape,$1000.00,1
2011,Citron,Bernard,I,"Asat, Inc.",$7533.00,1
2011,Citron,Bernard,I,"CA Development, Inc.",$930.00,1
2011,Citron,Bernard,I,"F & F Realty, Ltd.",$1627.00,1
2011,Citron,Bernard,I,"Lexington Homes, LLC",$3906.00,1
2011,Citron,Bernard,I,Chicago Self Storage,$1813.00,1
2011,Citron,Bernard,I,Dubin Residential,$48918.00,1
2011,Citron,Bernard,I,"Spectrum Real Estate Services, Inc",$0.00,1
2011,Citron,Bernard,I,South Dearborn LLC,$139.00,1
2011,Citron,Bernard,I,Nudell Architects,$0.00,1
2011,Citron,Bernard,I,"Chicago Investment Property, LLC",$0.00,1
2011,Citron,Bernard,I,"Schneider National, Inc",$0.00,1
2011,Clark,Jennifer,,Loyola University Chicago,$10000.00,1
2011,Clochard-Bossuet,Nicolas,,"JCDecaux North America, Inc",$3000.00,1
2011,Coffey,Thomas,P,Mercury Cruiselines,$3000.00,1
2011,Coffey,Thomas,P,Meade Electric Co.,$0.00,1
2011,Coffey,Thomas,P,Resurrection Health Care,$15000.00,1
2011,Coffey,Thomas,P,Children's Memorial Hospital,$5000.00,1
2011,Collins,Timothy,M,"Ansaldo STS USA, Inc",$0.00,1
2011,Coon,David,E,Greendustries Corp.,$0.00,1
2011,Cornell,Terry,D,Chicago Signs,$2000.00,1
2011,Corrigan,John,C,Extend Health,$15000.00,1
2011,Corrigan,John,C,U.S. Cellular,$15000.00,1
2011,Cortese,Frank,,Chicago Film Studio LLC,$3000.00,1
2011,Cortese,Frank,,Allied Waste,$3000.00,1
2011,Cortese,Frank,,HOK,$0.00,1
2011,Cortese,Frank,,Teamsters Joint Council 25,$3000.00,1
2011,Costanzo,Samantha,,Jefferies & Company Inc,$2000.00,1
2011,Coverick,Thomas,,"KeyBanc Capital Markets, Inc",$2000.00,1
2011,Cowell,Steven,R,SRC Aviation Inc,$0.00,1
2011,Cullerton,John,J,"Berghoff Cafe, LLC",$0.00,1
2011,Cullerton,John,J,HDS Retail North America,$0.00,1
2011,Daghestani,Omar,,Barclays Capital Inc,$3000.00,1
2011,Dalman,Kristina,M,Thai Towne Center,$5000.00,1
2011,Daniels,Warren,,"Morgan Stanley & Co., Inc.",$1000.00,1
2011,Dart,Timothy,J,Westfield Group,$0.00,1
2011,Dart,Timothy,J,"Westfield Concession Management, Inc.",$2000.00,1
2011,Dart,Timothy,J,"Wal-Mart Stores, Inc.",$20000.00,1
2011,Dart,Timothy,J,Edison Mission Energy/ Midwest-Generation LLC,$0.00,1
2011,Dart,Timothy,J,Feld Entertainment,$8000.00,1
2011,Dart,Timothy,J,Unisys Corporation,$15000.00,1
2011,Dart,Timothy,J,Siemens Corporation,$25000.00,1
2011,Dart,Timothy,J,Microsoft Corporation,$8000.00,1
2011,Dart,Timothy,J,R. J. Reynolds Tobacco Company,$20000.00,1
2011,Dart,Timothy,J,"Midwest Generation EME,LLC",$2500.00,1
2011,Dart,Timothy,J,"American International Group, INC (AIG)",$10000.00,1
2011,Dart,Timothy,J,"Live Nation Worldwide, Inc. (FKA Clear Channel Entertainment)",$12000.00,1
2011,Dart,Timothy,J,Aon Corporation,$10000.00,1
2011,Desai,Binita,,Metropolitan Chicago Healthcare Council,$2000.00,1
2011,Devine,Richard,A,Chicago Aviation Partners,$132000.00,1
2011,DiDomizio,Joseph,,"Airport Management Services, LLC",$0.00,1
2011,DiGrino,Mariah,,"659 WRC Chicago, LLC",$10000.00,1
2011,DiGrino,Mariah,,"CD-EB %2f EP Retail JC, LLC c%2fo Great Lakes Principals",$25000.00,1
2011,DiGrino,Mariah,,71 S. Wacker Dr. LLC,$2000.00,1
2011,DiGrino,Mariah,,Great Lakes Prinicipals  c%2fo CD_EP Retail JV LLC,$25000.00,1
2011,DiGrino,Mariah,,DAGS Desplaines LLC c%2fo Mesirow Financial,$5000.00,1
2011,DiGrino,Mariah,,Costco Wholesale,$20000.00,1
2011,DiGrino,Mariah,,1218-1220 N. Carman LLC,$1000.00,1
2011,DiGrino,Mariah,,Chicago Lakeside Development LLC,$2000.00,1
2011,DiGrino,Mariah,,Centrum Properties,$1000.00,1
2011,DiGrino,Mariah,,Prime Group Realty Trust,$3000.00,1
2011,DiLorenzo,Michael,J,"Hotel Lincoln Park Owner, LLC",$0.00,1
2011,DiLorenzo,Michael,J,Principal Real Estate Investors,$8000.00,1
2011,DiLorenzo,Michael,J,Water Tower Place LLC,$2000.00,1
2011,DiLorenzo,Michael,J,Macerich Company,$18000.00,1
2011,DiLorenzo,Michael,J,General Growth Properties,$2000.00,1
2011,DiLorenzo,Michael,J,"AG%2fCP West Bradley, LLC",$2000.00,1
2011,DiLorenzo,Michael,J,Resurrection Health Care,$85000.00,1
2011,Diamond,Terrance,L,Public Building Commission of Chicago,$0.00,1
2011,Diamond,Terrance,L,Sonia Shankman School Corp.,$0.00,1
2011,Diamond,Terrance,L,Chicago Family Health Center,$0.00,1
2011,Diamond,Terrance,L,Comer Science & Education Foundation,$0.00,1
2011,Diamond,Terrance,L,Chicago Board of Education,$0.00,1
2011,Dickett,William,G,Salvation Army,$4000.00,1
2011,Dickett,William,G,Commuter Rail Divison of the RTA (Metra),$2000.00,1
2011,Dixon,Jeffrey,A,Fifth Third Bank,$15000.00,1
2011,Dixon,Jeffrey,A,IL Hotel & Lodging Association,$15000.00,1
2011,Dodson,Jesse,,Chicago Neighborhood Initiatives,$2500.00,1
2011,Dodson,Jesse,,Sedgwick Properties,$5000.00,1
2011,Dodson,Jesse,,Lycee Francais De Chicago,$2500.00,1
2011,Dodson,Jesse,,Fifield Realty Corporation,$2000.00,1
2011,Dodson,Jesse,,Geneva Webster LLC,$3000.00,1
2011,Doerrer,John,A,CIGNA,$30000.00,1
2011,Doerrer,John,A,Mc Donald's Corp.,$30000.00,1
2011,Doerrer,John,A,Schlickman & Associates,$7500.00,1
2011,Doerrer,John,A,Distilled Spirits Council of United States,$19998.00,1
2011,Doerrer,John,A,Chicago Retail Merchants Assoc.,$30000.00,1
2011,Doherty,Jay,D,Prism Development Company,$5500.00,1
2011,Doherty,Jay,D,HOH Group,$6000.00,1
2011,Doherty,Jay,D,Superior Ambulance,$6000.00,1
2011,Doherty,Jay,D,"McDonough Associates, Inc",$5000.00,1
2011,Doherty,Jay,D,Ladder Up,$4000.00,1
2011,Doherty,Jay,D,"AECOM USA, Inc.",$14000.00,1
2011,Doherty,Jay,D,"Omicron Technologies, Inc",$0.00,1
2011,Doherty,Jay,D,"Omicron Technologies, Inc",$2000.00,1
2011,Doherty,Jay,D,Prism Development Company,$0.00,1
2011,Doherty,Jay,D,"ENTRAN, LLC",$2000.00,1
2011,Doherty,Jay,D,"Midwest Generation EME,LLC",$14000.00,1
2011,Doherty,Jay,D,"D. B. Sterlin Consultants, Inc.",$4166.00,1
2011,Doherty,Jay,D,Project Management Assoc Inc.,$4000.00,1
2011,Doherty,Jay,D,Marwood Group LLC,$0.00,1
2011,Doherty,Jay,D,Marwood Group LLC,$5000.00,1
2011,Doherty,Jay,D,Commonwealth Edison,$40000.00,1
2011,Doherty,Jay,D,"Gandhi & Associates, Inc.",$4000.00,1
2011,Doig,David,,Chicago Neighborhood Initiatives,$0.00,1
2011,Domagalski,Caroline,N,United Neighborhood Organization,$2000.00,1
2011,Domagalski,Caroline,N,Clear Channel Outdoor,$0.00,1
2011,Domagalski,Caroline,N,Hispanic Housing Development Cor.,$5000.00,1
2011,Domagalski,Caroline,N,RMK Pulaski LLC,$4000.00,1
2011,Domagalski,Caroline,N,Cash America International,$0.00,1
2011,Doria,Beth,,Federation of Women Contractors,$6000.00,1
2011,Dring,David,M,Academy for Urban School Leadership,$37500.00,1
2011,Dring,David,M,Wight & Co.,$18000.00,1
2011,Dring,David,M,Wight & Co.,$0.00,1
2011,Dring,David,M,"Apple, Inc",$35000.00,1
2011,Dring,David,M,Advocate Health Care Network,$65000.00,1
2011,Dring,David,M,"Securities Industry and Financial Markets Assoc., Inc.",$27500.00,1
2011,Dring,David,M,HR Green,$5000.00,1
2011,Duarte,Lisa,,Chicago Industrial Catalytic Ltd,$733.00,1
2011,Dunn,John,F,Flying Food Group,$5000.00,1
2011,Dunn,John,F,Sentry Security Systems LLC,$30000.00,1
2011,Dunn,John,F,PNC Bank,$30000.00,1
2011,Dunn,John,F,"Delta Engineering, Inc.",$5000.00,1
2011,Dunn,John,F,Skybox on Sheffield,$0.00,1
2011,Dunn,John,F,Hudson Group,$10000.00,1
2011,Erickson,Richard,M,AT&T Illinois,$0.00,1
2011,Faktor,Deborah,A,Blommer Chocolate Company,$8000.00,1
2011,Faktor,Deborah,A,"Gateway Park, LLC c%2fo The Regent Group",$1000.00,1
2011,Fary,Mark,J,"William Filan, Ltd",$12000.00,1
2011,Fary,Mark,J,"Aetna, Inc.",$0.00,1
2011,Fary,Mark,J,RedFlex Traffic Systems,$0.00,1
2011,Fary,Mark,J,Noble,$4000.00,1
2011,Fary,Mark,J,Pace,$0.00,1
2011,Faz-Huppert,Marina,,Local 881 United Food & Commercial Workers (UFCW),$1000.00,1
2011,Feeley,Henry,,Sedgwick Properties,$2000.00,1
2011,Filan,William,M,JP Morgan Chase & Co.,$5000.00,1
2011,Filan,William,M,URS,$4000.00,1
2011,Filan,William,M,"Aetna, Inc.",$5000.00,1
2011,Filan,William,M,Tishman Construction,$5000.00,1
2011,Filan,William,M,RedFlex Traffic Systems,$12000.00,1
2011,Filan,William,M,Constellation Energy Group,$5000.00,1
2011,Finkel,Daniel,A,Gold Coast Tickets,$5000.00,1
2011,Fitzgerald,Jennifer,L,"Lawson Products, Inc",$5000.00,1
2011,Flanagan,Neil,,Jefferies & Company Inc,$1000.00,1
2011,Fletcher,Andrew,,KeyBank National Association,$0.00,1
2011,Fortino,Stephen,,"Morgan Stanley & Co., Inc.",$1000.00,1
2011,Franson,Marc,P,"Harris, N.A.",$0.00,1
2011,Fratto,Anthony,N,George K. Baum & Co.,$0.00,1
2011,Fredd,Anne,L,Public Building Commission of Chicago,$0.00,1
2011,Friedgut,Elizabeth,H,182 W. lake St. LLC,$20000.00,1
2011,Friedland,Steven,D,Holsten Development Corp.,$5000.00,1
2011,Friedland,Steven,D,BMD City Gardens,$5000.00,1
2011,Friedland,Steven,D,"Suder, Paul",$2000.00,1
2011,Fritchey,John,A,Windy City Group Inc,$6500.00,1
2011,Fritchey,John,A,"Cash America, Inc",$0.00,1
2011,Fritchey,John,A,"Tsalas, Orestis",$0.00,1
2011,Fritchey,John,A,"BHB & Cafe Management Co, LLC",$0.00,1
2011,Gabinski,Terry,M,Anheuser Busch Companies,$30000.00,1
2011,Gabinski,Terry,M,G & A Construction,$30000.00,1
2011,Gabinski,Terry,M,F.H. Paschen %2f S.N. Nielsen Inc,$30000.00,1
2011,Gabinski,Terry,M,American Chemistry Council,$0.00,1
2011,Gabinski,Terry,M,American Chemistry Council,$45000.00,1
2011,Gainer,William,D,Shoreline Sightseeing,$18000.00,1
2011,Gattuso,Joseph,P,JP Morgan Chase & Co.,$3000.00,1
2011,Gattuso,Joseph,P,"Wainwright, Kate",$2000.00,1
2011,Gattuso,Joseph,P,North Park University,$1000.00,1
2011,Gattuso,Joseph,P,Avalos Iron & Metal Inc,$500.00,1
2011,Gattuso,Joseph,P,Englewood Cooperative,$1000.00,1
2011,Gattuso,Joseph,P,Harper Court Partners LLC,$3000.00,1
2011,Gattuso,Joseph,P,Swedish Covenant Hospital,$11000.00,1
2011,Gattuso,Joseph,P,"JMB Financial Advisors, LLC",$1000.00,1
2011,Gattuso,Joseph,P,CC Industries,$500.00,1
2011,Gattuso,Joseph,P,Digital Lakeside Holdings LLC,$0.00,1
2011,Gattuso,Joseph,P,Chicago Charter School Foundation,$2000.00,1
2011,Gattuso,Joseph,P,"Alpha Baking Company, Inc",$500.00,1
2011,Gattuso,Joseph,P,"Compass Group USA, Inc",$500.00,1
2011,Gattuso,Joseph,P,"Kotler, Bradley and Jennifer",$4000.00,1
2011,Gattuso,Joseph,P,Tokyo Inn Company,$1000.00,1
2011,Gattuso,Joseph,P,"Pontee, Patrick and Sei",$1000.00,1
2011,Gattuso,Joseph,P,Peninsula Hotel,$0.00,1
2011,Gattuso,Joseph,P,"Chik-Fil-A, Inc",$7000.00,1
2011,Gattuso,Joseph,P,"Nuelle, David and Kristen",$500.00,1
2011,Gattuso,Joseph,P,"O'Connor, Michael",$6000.00,1
2011,Gebo,Kate,,"Continental Airl Lines, Inc",$0.00,1
2011,George,Mary,E,"Wisman, James & Anna",$0.00,1
2011,George,Mary,E,ULICH Children's Advantage Network,$0.00,1
2011,George,John,J,1301 Elston LLC,$0.00,1
2011,George,John,J,Behringer Harvard Burnham LLC,$0.00,1
2011,George,John,J,"Lakeshore East, LLC",$500.00,1
2011,George,John,J,"Rossini, Ciro",$0.00,1
2011,George,John,J,St. Anthony Hospital,$0.00,1
2011,George,John,J,Stateway Associates LLC,$2500.00,1
2011,George,John,J,Testa Produce Inc,$5000.00,1
2011,George,John,J,Urban Core Outdoor,$1000.00,1
2011,George,John,J,Water Saver Faucet Co.,$2000.00,1
2011,George,John,J,Catherine Cook School,$0.00,1
2011,George,John,J,"Cicero Archer NRG, LLC",$1000.00,1
2011,George,John,J,"Scalise, Rosario",$0.00,1
2011,George,John,J,Urban Street Properties,$2000.00,1
2011,George,John,J,Waterton Residential,$0.00,1
2011,George,Mary,E,University of Chicago,$0.00,1
2011,George,John,J,Clear Channel Airports,$2000.00,1
2011,George,John,J,"Tsang, Terry",$500.00,1
2011,George,John,J,625 W. Adams (Chicago) LLC,$2000.00,1
2011,George,John,J,"Halsted Grace Ventures, LLC",$2000.00,1
2011,George,John,J,Madison-DesPlaines Development LLC,$0.00,1
2011,George,John,J,"Munger, Chad & Hickmann, Tracey",$500.00,1
2011,George,John,J,O'Donnell Investment Co,$1500.00,1
2011,George,John,J,SOS Children's Village Illinois,$0.00,1
2011,George,John,J,Central Station LLC,$2000.00,1
2011,George,John,J,University Center Associates,$5000.00,1
2011,George,John,J,Magellan Development Group Ltd.,$2000.00,1
2011,George,John,J,Mercy Hospital and Medical Center,$10000.00,1
2011,George,John,J,Mercy Campus Developers LLC,$0.00,1
2011,George,John,J,Olde Prairie Avenue LLC,$0.00,1
2011,George,John,J,Thermal Chicago Corporation,$0.00,1
2011,George,John,J,Children's Memorial Hospital,$6000.00,1
2011,George,John,J,University of Chicago,$5000.00,1
2011,George,John,J,"Boyce-II, LLC",$1000.00,1
2011,George,John,J,Christ the King Jesuit College Prep. School,$0.00,1
2011,George,John,J,"Medici Towers Partners, LLC c%2fo The Prime Group, LLC",$0.00,1
2011,George,John,J,Standard Parking,$2000.00,1
2011,George,John,J,Sisters of Mercy,$2000.00,1
2011,George,John,J,"Chitown-Diamond JV, LLC",$3000.00,1
2011,George,John,J,233 S. Wacker LLC,$0.00,1
2011,George,Mary,E,Public Building Commission of Chicago,$0.00,1
2011,George,Mary,E,Sonia Shankman School Corp.,$0.00,1
2011,George,Mary,E,Chicago Board of Education,$0.00,1
2011,George,John,J,"M & R Development, LLC",$3000.00,1
2011,George,John,J,"900 S. Clark Associates, LLC",$0.00,1
2011,George,John,J,5657 Broadway LLC,$500.00,1
2011,George,John,J,A Finkl & Sons Co.,$3000.00,1
2011,George,John,J,Fourth Presbyterian Church,$0.00,1
2011,George,John,J,Global Recycling,$2000.00,1
2011,George,John,J,International Property Developers,$10000.00,1
2011,George,John,J,Orchard Heritage Inc,$0.00,1
2011,George,John,J,"Ravenswood Disposal Service, Inc",$0.00,1
2011,George,John,J,Ten East Delaware LLC,$0.00,1
2011,George,John,J,Truth and Deliverance International Ministries,$0.00,1
2011,George,Mary,E,"Wal-Mart Stores, Inc.",$0.00,1
2011,George,John,J,Chicago University Commons LLC,$1500.00,1
2011,Gibson,Benjamin,D,University of Chicago Medical Center,$0.00,1
2011,Gilliam,James,V,JP Morgan Chase & Co.,$0.00,1
2011,Ginsberg,Steven,F,Verizon Wireless,$0.00,1
2011,Ginter,Mike ,,Chicago Parking Meters LLC,$2000.00,1
2011,Glass,Jeffrey,A,Midwest Generation,$10000.00,1
2011,Goldman,Robert,H,"Goodman, Mark",$5000.00,1
2011,Goldman,Robert,H,Granite Partners for Oakwood Boulevard,$5000.00,1
2011,Goldman,Robert,H,Mesa Development Corp.,$7000.00,1
2011,Goldman,Robert,H,Joseph Freed & Associates,$2000.00,1
2011,Goldman,Robert,H,MB Real Estate,$4000.00,1
2011,Goldman,Robert,H,"Granite Companies, LLC",$5000.00,1
2011,Goldman,Robert,H,Granite Development (Master) Corp,$2000.00,1
2011,Goldman,Robert,H,"Granite Madden Wells Sale, LLC",$2000.00,1
2011,Gonsky,Jonathan,,"Zip Car, Inc.",$1000.00,1
2011,Gottschalk,Andy,,KPMG LLP,$20000.00,1
2011,Graines,Gregg,,Fifth Third Bank,$2000.00,1
2011,Graines,Gregg,,Monroe Investments Partners LLC,$5000.00,1
2011,Graines,Gregg,,Theus Property Holding,$0.00,1
2011,Griffin,William,J,United Healthcare Services,$5000.00,1
2011,Griffin,William,J,Allied Tube & Conduit,$30000.00,1
2011,Griffin,William,J,TASC,$3000.00,1
2011,Griffin,William,J,American Airlines,$30000.00,1
2011,Guidice,Richard,J,"Teng and Associates, Inc",$1000.00,1
2011,Gust,John,,Jefferies & Company Inc,$4000.00,1
2011,Guthman,Jack,,JP Morgan Chase & Co.,$500.00,1
2011,Guthman,Jack,,"O' Connor, Michael",$500.00,1
2011,Guthman,Jack,,Harper Court Partners LLC,$1000.00,1
2011,Guthman,Jack,,Security Properties Inc,$4000.00,1
2011,Guthman,Jack,,Jupiter Realty Corporation,$0.00,1
2011,Guthman,Jack,,ProLogis,$0.00,1
2011,Guthman,Jack,,"Strategic Hotel Capital, Inc.",$0.00,1
2011,Hall,Christopher ,,Incapital LLC,$0.00,1
2011,Halpin,Peter,G,OTG Management,$35000.00,1
2011,Halpin,Peter,G,OTG Management,$0.00,1
2011,Halpin,Peter,G,Affiliated Computer Services Inc,$9000.00,1
2011,Halpin,Peter,G,"ACS State and Local Solutions, Inc",$0.00,1
2011,Hanlon, Patrick,,Horizon Metals,$11000.00,1
2011,Hansen,Clinton,P,"Lou Mitchell's Express, Inc",$0.00,1
2011,Hansen,Clinton,P,Berghoff Catering & Restaurant Group,$0.00,1
2011,Hansen,Clinton,P,Midway Restaurant Development Lts %2f DBA Gold Coast Hot Dogs,$0.00,1
2011,Harris,Arnold,S,Arnold Scott Harris PC,$0.00,1
2011,Henn,James,,Barclays Capital Inc,$1000.00,1
2011,Hiepler,Todd,,Macerich Company,$0.00,1
2011,Hillard,Terry,G,Taser International,$4800.00,1
2011,Hillard,Terry,G,Taser International,$4800.00,1
2011,Hillard,Terry,G,"Verint Technology, Inc.",$5000.00,1
2011,Hillard,Terry,G,"Verint Technology, Inc.",$5000.00,1
2011,Hodes,Scott,,Chicago Parking Association,$0.00,1
2011,Hofherr,William,G,George K. Baum & Co.,$0.00,1
2011,Holden,Patricia,,"Bank of America Corp.%2f Bank of America,NA",$10000.00,1
2011,Hood,William,L,American Airlines,$5000.00,1
2011,Houlihan,Michael ,,Office Depot,$500.00,1
2011,Houlihan,Michael ,,Sentry Security Systems LLC,$0.00,1
2011,Houlihan,Michael ,,McGuire Woods LLP,$0.00,1
