Id,Source,Site name,Address,Zip Code,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1356,IDHS_child_care_provider_list.csv," Ounce of Prevention Fund, Inc.","33 West Monroe Street, Suite 2400",60603,9223863,"(312)
922-3337",,,3985-7887-5433-003,,,,,,,,,,,,,,,,,,,,,,
1357,IDHS_child_care_provider_list.csv," Paxton Day Care
Center",200 North Elm Street Paxton,60957,3793865,"(217)
379-6205",,,7766-4691-7433-009,,,,,,,,,,,,,,,,,,,,,,
1358,IDHS_child_care_provider_list.csv, Pillars,"333 North LaGrange¬†
LaGrange Park",60957,9953500,,,,7064-6764-9133-063,,,,,,,,,,,,,,,,,,,,,,
1359,IDHS_child_care_provider_list.csv, Rockford Day Nursery,2323 South 6th Street Rockford,61104,9620834,"(815)
962-0838",,,8253-6253-5433-002,,,,,,,,,,,,,,,,,,,,,,
1360,IDHS_child_care_provider_list.csv," Skip-A-Long
Daycare Center, Inc.","4800-60th Street
Moline",61265,7648110,"(309)
764-8281",,,7108-7395-5433-001,,,,,,,,,,,,,,,,,,,,,,
1361,IDHS_child_care_provider_list.csv," St. Vincent DePaul
Center -Halsted",2145 North Halsted Street,60614,9436776,"(312)
573-0646",,,7611-0607-4433-007,,,,,,,,,,,,,,,,,,,,,,
1362,IDHS_child_care_provider_list.csv," Streator Child
Development Center",405 Chicago Street Streator,61364,6724350,"(815)
672-4784",,,0858-7317-0633-006,,,,,,,,,,,,,,,,,,,,,,
1363,IDHS_child_care_provider_list.csv," Thornton Township
High School District
205 - Infant Care",465 East 170th Street South Holland,60473,2254118,"(708)
225-4088",,,1946-2627-6433-001,,,,,,,,,,,,,,,,,,,,,,
1364,IDHS_child_care_provider_list.csv," Tri-Con Child Care Center, Inc.","425 Laurel Avenue
Highland Park",60035,4331450,"(847)
433-1749",,,9795-2875-5433-009,,,,,,,,,,,,,,,,,,,,,,
1365,IDHS_child_care_provider_list.csv, YWCA of Elgin,"220 East Chicago Street
Elgin",60120,7427930,"(847)
742-8217",,,3498-6732-5433-003,,,,,,,,,,,,,,,,,,,,,,
1366,IDHS_child_care_provider_list.csv, YWCA of Kankakee,1086 East Court Street Kankakee,60901,9334516,"(815)
935-0015",,,3261-3053-5433-005,,,,,,,,,,,,,,,,,,,,,,
