"Site name","Address","Phone","Program Name","Length of Day"
" Mary Crane League - Mary Crane - Morse","1545 W Morse Ave ",2621390,"Child Care","EXTENDED DAY"
" South Shore Bible - Maranatha","1631 E 71st St ",4937500,"Child Care","EXTENDED DAY"
" Chicago Commons Association - Taylor Center for New Experiences","1633 N Hamlin Ave ",2278551,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Ebenezer","1652 W Foster Ave ",8789925,"Child Care","EXTENDED DAY"
" Chicago Commons Association - Paulo Freire","1653 W 43rd St ",8262669,"Child Care","EXTENDED DAY"
" Erie Neighborhood House - Erie Community Center","1701 W Superior St ",5635800,"Child Care","EXTENDED DAY"
" El Valor - Little Tykes I","1711 W 35th St ",2547700,"Child Care","EXTENDED DAY"
" El Valor - Little Tykes I","1711 W 35th St ",2547700,"Child Care","EXTENDED DAY"
" ChildServ - Pilsen","1711 W Garfield Blvd ",,"Child Care","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis","1718 S Loomis Blvd ",5639796,"Child Care","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis","1718 S Loomis Blvd ",5639796,"Child Care","EXTENDED DAY"
" El Valor - Little Tykes II","1723 W 35th St ",5791791,"Child Care","EXTENDED DAY"
" El Valor - Little Tykes II","1723 W 35th St ",5791791,"Child Care","EXTENDED DAY"
" Church of God True Believers - Church of God Day Care","1738 W Marquette Rd ",4715222,"Child Care","EXTENDED DAY"
" Lutheran Social Services of Illinois - Rogers Park / LSSI","1754 W Devon Ave ",2623366,"Child Care","EXTENDED DAY"
" Chicago Commons Association - Guadalupano Family Center","1814 S Paulina St ",6663883,"Child Care","EXTENDED DAY"
" Chicago Commons Association - Guadalupano Family Center","1814 S Paulina St ",6663883,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - McCormick Tribune- YMCA","1834 N Lawndale Ave ",2352525,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Malcolm X College","1900 W Van Buren St ",8507000,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Malcolm X College","1900 W Van Buren St ",8507000,"Child Care","EXTENDED DAY"
" El Valor - Guadalupe Reyes Children & Family Center","1951 W 19th St ",9972021,"Child Care","EXTENDED DAY"
" El Valor - Guadalupe Reyes Children & Family Center","1951 W 19th St ",9972021,"Child Care","EXTENDED DAY"
" North Avenue Day Nursery - North Avenue Day Nursery","2001 W Pierce Ave ",3424499,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center CTR 2020","2020 W Roosevelt Rd ",2437300,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center CTR 2020","2020 W Roosevelt Rd ",2437300,"Child Care","EXTENDED DAY"
" Chinese American Service League - Chinese American Service League","2141 S Tan Ct ",7910418,"Child Care","EXTENDED DAY"
" Chinese American Service League - Chinese American Service League","2141 S Tan Ct ",7910418,"Child Care","EXTENDED DAY"
" First Church of Love And Faith - First Church of Love & Faith Annex","2141 W 79th St ",2246800,"Child Care","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Child Care","EXTENDED DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Child Care","EXTENDED DAY"
" Henry Booth House - Bernard Gentry","2326 S Dearborn St ",8428557,"Child Care","EXTENDED DAY"
" Henry Booth House - Bernard Gentry","2326 S Dearborn St ",8428557,"Child Care","EXTENDED DAY"
" Chicago State University - Kenyatta's Day Care","2334 E 75th ",2213777,"Child Care","EXTENDED DAY"
" Henry Booth House - Hillard House / Henry Booth","2401 S Wabash Ave ",7919710,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac","2414 S Albany Ave ",2775888,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac","2414 S Albany Ave ",2775888,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - High Ridge YMCA","2424 W Touhy Ave ",2628300,"Child Care","EXTENDED DAY"
" El Valor - Carlos Cantu","2434 S Kildare Ave ",,"Child Care","EXTENDED DAY"
" El Valor - Carlos Cantu","2434 S Kildare Ave ",,"Child Care","EXTENDED DAY"
" Christopher House - Christopher House - Greenview","2507 N Greenview Ave ",4721083,"Child Care","EXTENDED DAY"
" Christopher House - Christopher House - Logan Square","2610 N Francisco Ave ",2354073,"Child Care","EXTENDED DAY"
" St. Augustine College - St. Augustine - Nayarit","2610 W 25th Pl ",8783641,"Child Care","EXTENDED DAY"
" St. Augustine College - St. Augustine - Nayarit","2610 W 25th Pl ",8783641,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - YMCA - Bowen High School","2710 E 89th St ",9330166,"Child Care","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.","2718 W 59th St ",,"Child Care","EXTENDED DAY"
" El Valor - Centro Infantil(Puerto Rican Comm)","2739 W Division St ",3428866,"Child Care","EXTENDED DAY"
" Mary Crane League - Mary Crane - West","2820 N Leavitt St ",3485528,"Child Care","EXTENDED DAY"
" Henry Booth House - Family Service Center / Henry Booth","2850 S Michigan Ave ",9492151,"Child Care","EXTENDED DAY"
" Mary Crane League - Mary Crane - North","2905 N Leavitt St ",9753322,"Child Care","EXTENDED DAY"
" Henry Booth House - Near South / Henry Booth","2929 S Wabash Ave ",7910424,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Child Care","EXTENDED DAY"
" Boys and Girls Clubs of Chicago - R.E. Woods","2950 W 25th St ",8475172,"Child Care","EXTENDED DAY"
" Boys and Girls Clubs of Chicago - R.E. Woods","2950 W 25th St ",8475172,"Child Care","EXTENDED DAY"
" Mary Crane League - Mary Crane - East","2974 N Clybourn Ave ",3485528,"Child Care","EXTENDED DAY"
" El Valor - Young Scholars Dev. Ins","3038 W 59th St ",9181944,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - South Chicago YMCA","3039 E 91st St ",7219100,"Child Care","EXTENDED DAY"
" El Valor - Rey Gonzalez Children & Family Center","3050 E 92nd St ",7219311,"Child Care","EXTENDED DAY"
" Bethel New Life - Lake and Pulaski","316 N Pulaski Rd ",2653830,"Child Care","EXTENDED DAY"
" ChildServ - FSS of Lawndale","3210 W Arthington St ",8677370,"Child Care","EXTENDED DAY"
" ChildServ - FSS of Lawndale","3210 W Arthington St ",8677370,"Child Care","EXTENDED DAY"
" Metropolitan Family Services - Midway Children's Center (Chicago Lawn)","3215 W 63rd St ",8842350,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Centro Nuestro / CYC","3222 W Division Ave ",4893157,"Child Care","EXTENDED DAY"
" Metropolitan Family Services - North Children's Center","3249 N Central Ave ",3713700,"Child Care","EXTENDED DAY"
" Christopher House - Christoper House - Logan Square","3255 W Altgeld St ",2354073,"Child Care","EXTENDED DAY"
" Chicago State University - Professional Playhouse","338 E 103rd ",5680728,"Child Care","EXTENDED DAY"
" Chicago State University - Professional Playhouse","338 E 103rd ",5680728,"Child Care","EXTENDED DAY"
" Albany Park Community Center - Albany Park Day Care - Ainslie","3401 W Ainslie St ",5395907,"Child Care","EXTENDED DAY"
" St. Augustine College - St. Augustine - Flamboyan","3401 W McLean Ave ",2763423,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - ABC","3415 W 13th Pl ",,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - ABC","3415 W 13th Pl ",,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Child Care","EXTENDED DAY"
" El Valor - Teddy Bear 2 Columbus","3473 W Columbus ",,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Ida B. Wells Learning Center","3601 S Rhodes St ",3733640,"Child Care","EXTENDED DAY"
" Firman Community Services - Firman House West","37 W 47th St ",3733400,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Child Care","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - McKinley - St. Thomas","3801 S Wabash Ave ",2850617,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Edison L. Hoard Learning Center","3901 S State St ",5362187,"Child Care","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - It Takes a Village","4000 W Division St ",,"Child Care","EXTENDED DAY"
" Grant Creative Learning Center - Grant Day Care Center","4025 S Drexel St ",2858440,"Child Care","EXTENDED DAY"
" Salvation Army - New Hope / Salvation Army","4255 W Division St ",7224908,"Child Care","EXTENDED DAY"
" Korean American Community Services - Korean American Community Services","4300 N California Ave ",5838281,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Effie Ellis","4301 S Cottage Grove Ave ",,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - Maggie Drummond Day Care","4301 S Wabash Ave ",3738200,"Child Care","EXTENDED DAY"
" Abraham Lincoln Centre - Lincoln - King","4314 S Cottage Grove Ave ",7472310,"Child Care","EXTENDED DAY"
" Hull House Association - Leclaire-Ryder Day Care / Hull House","4410 S Laporte Ave ",7675170,"Child Care","EXTENDED DAY"
" El Valor - Kiddy Kare Learning Ctr","4444 S Kedzie Ave ",2476642,"Child Care","EXTENDED DAY"
" Hull House Association - Uptown West / Hull House","4520 N Beacon St ",5613500,"Child Care","EXTENDED DAY"
" St. Paul Church of God - Chaney Ford Child Care Center","4526 S Wabash Ave ",2858721,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Roseland / CYC","461 E 111th St ",4684405,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Roseland / CYC","461 E 111th St ",4684405,"Child Care","EXTENDED DAY"
" Home of Life Community Dev. Corp. - Home of Life Just For You","4647 W Washington Blvd ",6268655,"Child Care","EXTENDED DAY"
" Home of Life Community Dev. Corp. - Home of Life Community Development","4650 W Madison St ",6268655,"Child Care","EXTENDED DAY"
" Christopher House - Christopher House - Uptown","4701 N Winthrop Ave ",7694540,"Child Care","EXTENDED DAY"
" Hull House Association - Lincoln Square / Hull House","4754 N Leavitt St ",8788651,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Joseph","4800 S Paulina St ",9272524,"Child Care","EXTENDED DAY"
" Lutheran Social Services of Illinois - Winthrop Children's Center / LSSI","4848 N Winthrop Ave ",8783210,"Child Care","EXTENDED DAY"
" Firman Community Services - Firman House East","4910 S Dr. Martin Luther King Dr ",3732083,"Child Care","EXTENDED DAY"
" Healing Temple - Healing Temple","4941 W Chicago Ave ",2876964,"Child Care","EXTENDED DAY"
" Appeal for Charities and Goodwill - Appeal for Charities","50 W 71st St ",6515400,"Child Care","EXTENDED DAY"
" Salvation Army - Columbus Park / Salvation Army","500 S Central Ave ",9214162,"Child Care","EXTENDED DAY"
" Douglass-Tubman Youth Ministries,Inc. - Douglass-Tubman Child Development Center","5010 W Chicago Ave ",6266581,"Child Care","EXTENDED DAY"
" Wayman Day Care Center - Wayman Day Care","511 W Elm St ",9432120,"Child Care","EXTENDED DAY"
" Albany Park Community Center - Albany Park Head Start Center-Kimball","5121 N Kimball Ave ",5095657,"Child Care","EXTENDED DAY"
" El Valor - Teddy Bear 5 Pulaski","5160 S Pulaski RD ",,"Child Care","EXTENDED DAY"
" Trinity United Church of Christ - Trinity United","532 W 95th St ",4883511,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Grace Mission","5332 S Western Ave ",4761990,"Child Care","EXTENDED DAY"
" Firman Community Services - Firman House South","5401 S Wentworth Ave ",4513400,"Child Care","EXTENDED DAY"
" Onward Neighborhood House - Belmont-Cragin","5423 W Diversey ",,"Child Care","EXTENDED DAY"
" Onward Neighborhood House - Tiny Town for Tots","5654 W Division St ",,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - St. John Greater Holy Temple","5701 W Midway Park ",9480094,"Child Care","EXTENDED DAY"
" El Hogar del Nino/Cuidar - Blanca Alatorre","5738 S KENNETH AVE ",,"Child Care","EXTENDED DAY"
" Trinity Resources Unlimited, Inc. - Hope for Youth","5900 W Iowa St ",6260323,"Child Care","EXTENDED DAY"
" El Valor - Little Learners","5923 W 63rd St ",5815541,"Child Care","EXTENDED DAY"
" Onward Neighborhood House - Onward Neighborhood House","600 N Leavitt St ",6666726,"Child Care","EXTENDED DAY"
" Heartland Alliance for Human Needs & Rights - Heartland Human Care Services, Inc","615 W Wellington Ave ",,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Washington Park South Learning Center","6225 S Wabash Ave ",6672065,"Child Care","EXTENDED DAY"
" Boys and Girls Clubs of Chicago - Yancey","6245 S Wabash Ave ",3634733,"Child Care","EXTENDED DAY"
" El Valor - Kidz Colony","6287 S Archer Ave ",7678522,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - South Side YMCA","6330 S Stony Island Ave ",9470700,"Child Care","EXTENDED DAY"
" El Valor - Teddy Bear 3 Pulaski","6401 S Pulaski RD ",,"Child Care","EXTENDED DAY"
" Woodlawn A.M.E. Church - Woodlawn A.M.E.","6456 S Evans Ave ",6671402,"Child Care","EXTENDED DAY"
" Board Trustees-City Colleges of Chicago - Kennedy-King College","6800 S Wentworth Ave ",5533475,"Child Care","EXTENDED DAY"
" Family Rescue - Ridgeland Head Start","6824 S Ridgeland Ave ",6671073,"Child Care","EXTENDED DAY"
" Trinity United Church of Christ - Dr. Denton J. Brooks Center","6921 S Stony Island Ave ",9552818,"Child Care","EXTENDED DAY"
" Abraham Lincoln Centre - Lincoln - Roseland","7 E 119th St ",2647632,"Child Care","EXTENDED DAY"
" Abraham Lincoln Centre - Lincoln - Roseland","7 E 119th St ",2647632,"Child Care","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA","7 N Homan Ave ",2653900,"Child Care","EXTENDED DAY"
" Christopher House - Christopher House - Rogers Park","7059 N Greenview Ave ",2745477,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - Little Hands","7146 S Ashland Ave ",,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - McKinley - Howard","7222 S Exchange Ave ",2219711,"Child Care","EXTENDED DAY"
" Hull House Association - Orr High School non-cys funded","730 N Pulaski Rd ",8261090,"Child Care","EXTENDED DAY"
" South Shore United Methodist - South Shore United","7350 S Jeffery Blvd ",3244430,"Child Care","EXTENDED DAY"
" Chicago Commons Association - Nia Family Center","744 N Monticello Ave ",8266971,"Child Care","EXTENDED DAY"
" Howard Area Community Center - Howard Area Community Center","7510 N Ashland Ave ",7647610,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Rebecca K. Crown / CYC","7601 S Phillips Ave ",6481550,"Child Care","EXTENDED DAY"
" Howard Area Community Center - Howard Area","7638 N Paulina Ave ",3813652,"Child Care","EXTENDED DAY"
" ChildServ - Englewood","7928 S Ashland Ave ",,"Child Care","EXTENDED DAY"
" Ada S. McKinley Community Services - McKinley - Wright Renaissance","7939 S Western Ave ",4768805,"Child Care","EXTENDED DAY"
" Chicago State University - Tiny Tots Villa","8128 S Dr. Martin Luther King Dr ",4836251,"Child Care","EXTENDED DAY"
" Henry Booth House - New Pisgah","8130 S Racine Ave ",8735392,"Child Care","EXTENDED DAY"
" Human Resources Development Institute - Human Resources Development Institute","8151 S Western Ave ",8631145,"Child Care","EXTENDED DAY"
" South Central Community Services - South Central Community Services","8316 S Ellis Ave ",4830900,"Child Care","EXTENDED DAY"
" Marcy Newberry Association - South Harper Montessori","8358 S Stony Island Ave ",7340375,"Child Care","EXTENDED DAY"
" Christopher House - Christopher House - Lakeshore","850 W Eastwood Ave ",2719403,"Child Care","EXTENDED DAY"
" Henry Booth House - North Kenwood Day Care Center","857 E Pershing Rd ",2682223,"Child Care","EXTENDED DAY"
" Dorothy Sutton Branch - Dorothy Sutton Branch","8601 S State St ",7234445,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Bronislava","8716 S Colfax Ave ",9337676,"Child Care","EXTENDED DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Guadalupe","9129 S Burley Ave ",9785320,"Child Care","EXTENDED DAY"
" Haymarket Center - Haymarket Center","932 W Washington Blvd ",2267984,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Altgeld Gardens I","941 E 132nd Pl ",4683055,"Child Care","EXTENDED DAY"
" Centers For New Horizons - Altgeld Gardens I","941 E 132nd Pl ",4683055,"Child Care","EXTENDED DAY"
" The Woodlawn Organization - T.W.O. Early Child Development","950 E 61ST St ",2885840,"Child Care","EXTENDED DAY"
" Human Resources Development Institute - Donna Randle","9634 S CHAPPEL AVE ",,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Dorothy Gautreaux / CYC","975 E 132nd St ",2911000,"Child Care","EXTENDED DAY"
" Chicago Youth Centers - Dorothy Gautreaux / CYC","975 E 132nd St ",2911000,"Child Care","EXTENDED DAY"
" Joyner CPC","1315 S. Blue Island ",5347903,"Child Parent Center","3-4 hours"
" Von Humboldt CPC","1345 N. Rockwell ",5344668,"Child Parent Center","3-4 hours"
" Herzl CPC","1401 S. Hamlin ",5341751,"Child Parent Center","3-4 hours"
" Herzl CPC","1401 S. Hamlin ",5341751,"Child Parent Center","3-4 hours"
" Ferguson CPC","1420 N. Hudson ",5348580,"Child Parent Center","3-4 hours"
" Parker CPC","328 W. 69Th ",5353853,"Child Parent Center","3-4 hours"
" Delano CPC","3905 W. Wilcox ",5346450,"Child Parent Center","3-4 hours"
" Hansberry CPC","4055 W. Arthington ",5346931,"Child Parent Center","3-4 hours"
" Hansberry CPC","4055 W. Arthington ",5346931,"Child Parent Center","3-4 hours"
" Cole CPC","412 S. Keeler ",5346857,"Child Parent Center","3-4 hours"
" Woodson South CPC","4511 S. Evans Ave ",5351822,"Child Parent Center","3-4 hours"
" Overton CPC","4935 S. Indiana ",5351811,"Child Parent Center","3-4 hours"
" Beasley CPC","5165 S. State St ",5351772,"Child Parent Center","3-4 hours"
" Dewey CPC","638 W. 54Th Pl. ",5351671,"Child Parent Center","3-4 hours"
" Wheatley CPC","902 E. 133rd Pl ",5355718,"Child Parent Center","3-4 hours"
" Wheatley CPC","902 E. 133rd Pl ",5355718,"Child Parent Center","3-4 hours"
" V & J Day Care Center","1 E. 113th St. ",7853940,"Community Partnerships","8-11 Hours, varies by facility"
" Salvation Army Temple","1 N. Ogden ",2262649,"Community Partnerships","8-11 Hours, varies by facility"
" National Louis University-Dr. Effie O. Ellis Head Start","10 S. Kedzie ",5339011,"Community Partnerships","8-11 Hours, varies by facility"
" City Colleges Olive-Harvey CDC","10001 S. Woodlawn ",2916315,"Community Partnerships","8-11 Hours, varies by facility"
" Easter Seals - Gilchrist Marchman","1001 W. Roosevelt Rd ",4927402,"Community Partnerships","8-11 Hours, varies by facility"
" Hull House Association Edgewater/Uptown","1020 W. Bryn Mawr ",4695626,"Community Partnerships","8-11 Hours, varies by facility"
" Montessori Academy and Association, Inc. 2","10232 S. Halsted St. ",2331100,"Community Partnerships","8-11 Hours, varies by facility"
" Archdiocese of Chicago - St. Mary of the Lake","1026 W. Buena Ave. ",2810018,"Community Partnerships","8-11 Hours, varies by facility"
" Small Stride Academy","10317 S. Western ",2390040,"Community Partnerships","8-11 Hours, varies by facility"
" Loyola University Chicago","1052 W. Loyola Ave ",5083440,"Community Partnerships","8-11 Hours, varies by facility"
" Children?s Developmental Institute MP","10928 S. Halsted St. ",9950600,"Community Partnerships","8-11 Hours, varies by facility"
" Catholic Charities - Cordi-Marian","1100 S. May Street ",6663787,"Community Partnerships","8-11 Hours, varies by facility"
" Montessori Academy and Association, Inc. 1","11025 S. Halsted St. ",4680033,"Community Partnerships","8-11 Hours, varies by facility"
" Kids Count Too Daycare, Preschool and Kindergarten-Kids Count Too Daycare - Englewo","1106-1108 W. 63rd St. ",4767714,"Community Partnerships","8-11 Hours, varies by facility"
" Thresholds Mothers? Project","1110 W. Belmont ",,"Community Partnerships","8-11 Hours, varies by facility"
" North Kenwood/Oakland Charter","1119 E. 46th St. ",5362399,"Community Partnerships","8-11 Hours, varies by facility"
" Bethel New Life Molade CDC","1120 N. Lamon ",6267760,"Community Partnerships","8-11 Hours, varies by facility"
" LEARN Charter School","1132 S. Homan ",8266330,"Community Partnerships","8-11 Hours, varies by facility"
" Lots of Love Preschool Academy","1139 W. 79th St. ",2091989,"Community Partnerships","8-11 Hours, varies by facility"
" Ada S. McKinley Roseland","11410 S. Edbrooke ",4681918,"Community Partnerships","8-11 Hours, varies by facility"
" Imani Children's Academy","11443 S. Halsted ",6609667,"Community Partnerships","8-11 Hours, varies by facility"
" City Colleges of Chicago Truman CDC","1145 W. Wilson ",9074741,"Community Partnerships","8-11 Hours, varies by facility"
" Gingerbread House Daycare","11640 S. Wentworth ",9284041,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Urban Day School","1248 W. 69th Street ",4833555,"Community Partnerships","8-11 Hours, varies by facility"
" Stepping Stones Early Childhood Center","1300 E. 75th St. ",4930000,"Community Partnerships","8-11 Hours, varies by facility"
" First Congregational Church Day Care","1305 N. Hamlin ",3848118,"Community Partnerships","8-11 Hours, varies by facility"
" Marcy-Newberry - Fosco Park","1312 S. Racine ",7466024,"Community Partnerships","8-11 Hours, varies by facility"
" Kids Place II, Inc.","1318 West 95th St. ",4456500,"Community Partnerships","8-11 Hours, varies by facility"
" St. Augustine College - Canillitas","1333-45 W. Argyle ",8783231,"Community Partnerships","8-11 Hours, varies by facility"
" Casa Central - CSC Development Program","1343 N. California ",6452300,"Community Partnerships","8-11 Hours, varies by facility"
" Abraham Lincoln Center - Hope","1354 W. 61st St. ",4715100,"Community Partnerships","8-11 Hours, varies by facility"
" Northwestern University Settlement House","1400 W. Augusta Blvd. ",2787471,"Community Partnerships","8-11 Hours, varies by facility"
" Taylor - Day School Inc.","1414 W. 87th St ",2392322,"Community Partnerships","8-11 Hours, varies by facility"
" Little Kiddies Day Care","1447 W. Devon ",4657702,"Community Partnerships","8-11 Hours, varies by facility"
" Passages Charter School","1447 W. Montrose ",5491052,"Community Partnerships","8-11 Hours, varies by facility"
" Catholic Charities - Our Lady of Lourdes","1449 S. Keeler ",5213126,"Community Partnerships","8-11 Hours, varies by facility"
" Lutheran Social Services North Austin","1500 N. Mason ",2371930,"Community Partnerships","8-11 Hours, varies by facility"
" Chicago Youth Centers Centro Nuestro (Taylor)","1501 N. Harding ",2785837,"Community Partnerships","8-11 Hours, varies by facility"
